Instância;média;desvio padrão;
../instances/set_1_2/p1.2.a.txt;0;0;
../instances/set_1_2/p1.2.b.txt;15;0;
../instances/set_1_2/p1.2.c.txt;20;0;
../instances/set_1_2/p1.2.d.txt;30;0;
../instances/set_1_2/p1.2.e.txt;45;0;
../instances/set_1_2/p1.2.f.txt;80;0;
../instances/set_1_2/p1.2.g.txt;85.625;1.65359;
../instances/set_1_2/p1.2.h.txt;105.938;1.95156;
../instances/set_1_2/p1.2.i.txt;130;0;
../instances/set_1_2/p1.2.j.txt;148.906;2.06699;
../instances/set_1_2/p1.2.k.txt;163.438;2.31756;
../instances/set_1_2/p1.2.l.txt;183.438;2.91481;
../instances/set_1_2/p1.2.m.txt;195.781;4.34982;
../instances/set_1_2/p1.2.n.txt;204.531;3.15223;
../instances/set_1_2/p1.2.o.txt;214.375;3.47985;
../instances/set_1_2/p1.2.p.txt;219.531;7.43297;
../instances/set_1_2/p1.2.q.txt;230.312;5.43965;
../instances/set_1_2/p1.2.r.txt;238.594;4.18971;
../instances/set_1_3/p1.3.a.txt;0;0;
../instances/set_1_3/p1.3.b.txt;0;0;
../instances/set_1_3/p1.3.c.txt;15;0;
../instances/set_1_3/p1.3.d.txt;15;0;
../instances/set_1_3/p1.3.e.txt;30;0;
../instances/set_1_3/p1.3.f.txt;40;0;
../instances/set_1_3/p1.3.g.txt;50;0;
../instances/set_1_3/p1.3.h.txt;70;0;
../instances/set_1_3/p1.3.i.txt;100.312;1.21031;
../instances/set_1_3/p1.3.j.txt;108.281;2.96051;
../instances/set_1_3/p1.3.k.txt;131.562;2.63317;
../instances/set_1_3/p1.3.l.txt;148.906;2.71983;
../instances/set_1_3/p1.3.m.txt;165.312;3.04587;
../instances/set_1_3/p1.3.n.txt;180.312;2.48039;
../instances/set_1_3/p1.3.o.txt;195;2.5;
../instances/set_1_3/p1.3.p.txt;204.219;4.69531;
../instances/set_1_3/p1.3.q.txt;213.75;3.53553;
../instances/set_1_3/p1.3.r.txt;229.219;4.34982;
../instances/set_1_4/p1.4.a.txt;0;0;
../instances/set_1_4/p1.4.b.txt;0;0;
../instances/set_1_4/p1.4.c.txt;0;0;
../instances/set_1_4/p1.4.d.txt;15;0;
../instances/set_1_4/p1.4.e.txt;15;0;
../instances/set_1_4/p1.4.f.txt;25;0;
../instances/set_1_4/p1.4.g.txt;35;0;
../instances/set_1_4/p1.4.h.txt;45;0;
../instances/set_1_4/p1.4.i.txt;60;0;
../instances/set_1_4/p1.4.j.txt;75;0;
../instances/set_1_4/p1.4.k.txt;100;0;
../instances/set_1_4/p1.4.l.txt;120;0;
../instances/set_1_4/p1.4.m.txt;125.156;0.869963;
../instances/set_1_4/p1.4.n.txt;147.812;2.48039;
../instances/set_1_4/p1.4.o.txt;159.062;3.40897;
../instances/set_1_4/p1.4.p.txt;166.094;3.24383;
../instances/set_1_4/p1.4.q.txt;177.031;3.2738;
../instances/set_1_4/p1.4.r.txt;192.656;3.05787;
../instances/set_2_2/p2.2.a.txt;90;0;
../instances/set_2_2/p2.2.b.txt;120;0;
../instances/set_2_2/p2.2.c.txt;140;0;
../instances/set_2_2/p2.2.d.txt;160;0;
../instances/set_2_2/p2.2.e.txt;186.875;3.90312;
../instances/set_2_2/p2.2.f.txt;200;0;
../instances/set_2_2/p2.2.g.txt;200;0;
../instances/set_2_2/p2.2.h.txt;230;0;
../instances/set_2_2/p2.2.i.txt;230;0;
../instances/set_2_2/p2.2.j.txt;260;0;
../instances/set_2_2/p2.2.k.txt;273.438;2.31756;
../instances/set_2_3/p2.3.a.txt;70;0;
../instances/set_2_3/p2.3.b.txt;70;0;
../instances/set_2_3/p2.3.c.txt;105;0;
../instances/set_2_3/p2.3.d.txt;105;0;
../instances/set_2_3/p2.3.e.txt;120;0;
../instances/set_2_3/p2.3.f.txt;120;0;
../instances/set_2_3/p2.3.g.txt;145;0;
../instances/set_2_3/p2.3.h.txt;165;0;
../instances/set_2_3/p2.3.i.txt;200;0;
../instances/set_2_3/p2.3.j.txt;200;0;
../instances/set_2_3/p2.3.k.txt;200;0;
../instances/set_2_4/p2.4.a.txt;10;0;
../instances/set_2_4/p2.4.b.txt;70;0;
../instances/set_2_4/p2.4.c.txt;70;0;
../instances/set_2_4/p2.4.d.txt;70;0;
../instances/set_2_4/p2.4.e.txt;70;0;
../instances/set_2_4/p2.4.f.txt;105;0;
../instances/set_2_4/p2.4.g.txt;105;0;
../instances/set_2_4/p2.4.h.txt;120;0;
../instances/set_2_4/p2.4.i.txt;120;0;
../instances/set_2_4/p2.4.j.txt;120;0;
../instances/set_2_4/p2.4.k.txt;180;0;
../instances/set_3_2/p3.2.a.txt;90;0;
../instances/set_3_2/p3.2.b.txt;150;0;
../instances/set_3_2/p3.2.c.txt;180;0;
../instances/set_3_2/p3.2.d.txt;220;0;
../instances/set_3_2/p3.2.e.txt;250.312;1.73993;
../instances/set_3_2/p3.2.f.txt;288.125;3.90312;
../instances/set_3_2/p3.2.g.txt;350;3.53553;
../instances/set_3_2/p3.2.h.txt;385.938;6.5476;
../instances/set_3_2/p3.2.i.txt;434.375;8.26797;
../instances/set_3_2/p3.2.j.txt;475.938;8.23839;
../instances/set_3_2/p3.2.k.txt;508.75;10.2317;
../instances/set_3_2/p3.2.l.txt;545;8.29156;
../instances/set_3_2/p3.2.m.txt;568.75;10.5327;
../instances/set_3_2/p3.2.n.txt;594.688;7.89952;
../instances/set_3_2/p3.2.o.txt;625.938;7.44118;
../instances/set_3_2/p3.2.p.txt;651.875;10.1358;
../instances/set_3_2/p3.2.q.txt;686.25;12.6861;
../instances/set_3_2/p3.2.r.txt;705;9.35414;
../instances/set_3_2/p3.2.s.txt;725.625;8.99218;
../instances/set_3_2/p3.2.t.txt;746.562;10.1887;
../instances/set_3_3/p3.3.a.txt;30;0;
../instances/set_3_3/p3.3.b.txt;90;0;
../instances/set_3_3/p3.3.c.txt;120;0;
../instances/set_3_3/p3.3.d.txt;170;0;
../instances/set_3_3/p3.3.e.txt;200;0;
../instances/set_3_3/p3.3.f.txt;230;0;
../instances/set_3_3/p3.3.g.txt;267.812;4.13399;
../instances/set_3_3/p3.3.h.txt;300;0;
../instances/set_3_3/p3.3.i.txt;323.125;4.63512;
../instances/set_3_3/p3.3.j.txt;370.312;3.04587;
../instances/set_3_3/p3.3.k.txt;424.375;7.04339;
../instances/set_3_3/p3.3.l.txt;452.812;9.75781;
../instances/set_3_3/p3.3.m.txt;495.938;6.05154;
../instances/set_3_3/p3.3.n.txt;528.125;8.81671;
../instances/set_3_3/p3.3.o.txt;556.562;8.87742;
../instances/set_3_3/p3.3.p.txt;593.75;8.56957;
../instances/set_3_3/p3.3.q.txt;621.562;10.6388;
../instances/set_3_3/p3.3.r.txt;652.188;10.8208;
../instances/set_3_3/p3.3.s.txt;673.438;9.22272;
../instances/set_3_3/p3.3.t.txt;690.938;8.0465;
../instances/set_3_4/p3.4.a.txt;20;0;
../instances/set_3_4/p3.4.b.txt;30;0;
../instances/set_3_4/p3.4.c.txt;90;0;
../instances/set_3_4/p3.4.d.txt;100;0;
../instances/set_3_4/p3.4.e.txt;140;0;
../instances/set_3_4/p3.4.f.txt;190;0;
../instances/set_3_4/p3.4.g.txt;220;0;
../instances/set_3_4/p3.4.h.txt;240;0;
../instances/set_3_4/p3.4.i.txt;265;5;
../instances/set_3_4/p3.4.j.txt;310;0;
../instances/set_3_4/p3.4.k.txt;349.062;2.91481;
../instances/set_3_4/p3.4.l.txt;369.688;3.04587;
../instances/set_3_4/p3.4.m.txt;383.438;4.74959;
../instances/set_3_4/p3.4.n.txt;427.188;4.49609;
../instances/set_3_4/p3.4.o.txt;478.125;6.34306;
../instances/set_3_4/p3.4.p.txt;523.438;6.42718;
../instances/set_3_4/p3.4.q.txt;538.125;8.07678;
../instances/set_3_4/p3.4.r.txt;573.438;8.14301;
../instances/set_3_4/p3.4.s.txt;609.688;8.0949;
../instances/set_3_4/p3.4.t.txt;638.75;9.60143;
../instances/set_4_2/p4.2.a.txt;206;0;
../instances/set_4_2/p4.2.b.txt;311.594;6.7308;
../instances/set_4_2/p4.2.c.txt;432.344;10.0518;
../instances/set_4_2/p4.2.d.txt;494.719;9.68967;
../instances/set_4_2/p4.2.e.txt;543.656;10.5996;
../instances/set_4_2/p4.2.f.txt;594.312;10.3454;
../instances/set_4_2/p4.2.g.txt;626.375;6.90448;
../instances/set_4_2/p4.2.h.txt;689.094;10.7015;
../instances/set_4_2/p4.2.i.txt;738;14.0757;
../instances/set_4_2/p4.2.j.txt;771.688;14.683;
../instances/set_4_2/p4.2.k.txt;802.281;11.7293;
../instances/set_4_2/p4.2.l.txt;838.938;20.8341;
../instances/set_4_2/p4.2.m.txt;869.562;14.9456;
../instances/set_4_2/p4.2.n.txt;899.719;19.8309;
../instances/set_4_2/p4.2.o.txt;921.656;14.9219;
../instances/set_4_2/p4.2.p.txt;955.062;18.8529;
../instances/set_4_2/p4.2.q.txt;969.062;20.236;
../instances/set_4_2/p4.2.r.txt;988.5;14.0779;
../instances/set_4_2/p4.2.s.txt;1008.72;16.4454;
../instances/set_4_2/p4.2.t.txt;1017.91;15.183;
../instances/set_4_3/p4.3.a.txt;0;0;
../instances/set_4_3/p4.3.b.txt;38;0;
../instances/set_4_3/p4.3.c.txt;186.656;2.62927;
../instances/set_4_3/p4.3.d.txt;322.469;7.97647;
../instances/set_4_3/p4.3.e.txt;423.438;7.09286;
../instances/set_4_3/p4.3.f.txt;509.531;6.97757;
../instances/set_4_3/p4.3.g.txt;588.688;8.57845;
../instances/set_4_3/p4.3.h.txt;634.062;9.28015;
../instances/set_4_3/p4.3.i.txt;671.094;12.2484;
../instances/set_4_3/p4.3.j.txt;700.594;13.9796;
../instances/set_4_3/p4.3.k.txt;752.281;11.5738;
../instances/set_4_3/p4.3.l.txt;796.375;19.8144;
../instances/set_4_3/p4.3.m.txt;840.75;14.0423;
../instances/set_4_3/p4.3.n.txt;894.969;19.496;
../instances/set_4_3/p4.3.o.txt;928.781;17.3236;
../instances/set_4_3/p4.3.p.txt;958.094;18.1545;
../instances/set_4_3/p4.3.q.txt;977.75;15.6325;
../instances/set_4_3/p4.3.r.txt;999.688;16.7937;
../instances/set_4_3/p4.3.s.txt;1029;19.3988;
../instances/set_4_3/p4.3.t.txt;1040.88;15.7931;
../instances/set_4_4/p4.4.a.txt;0;0;
../instances/set_4_4/p4.4.b.txt;0;0;
../instances/set_4_4/p4.4.c.txt;0;0;
../instances/set_4_4/p4.4.d.txt;38;0;
../instances/set_4_4/p4.4.e.txt;171.219;0.598664;
../instances/set_4_4/p4.4.f.txt;318.375;6.52759;
../instances/set_4_4/p4.4.g.txt;417.094;10.2572;
../instances/set_4_4/p4.4.h.txt;503.344;7.98283;
../instances/set_4_4/p4.4.i.txt;577.438;6.1336;
../instances/set_4_4/p4.4.j.txt;646;7.30154;
../instances/set_4_4/p4.4.k.txt;703.625;9.51561;
../instances/set_4_4/p4.4.l.txt;735.594;10.2099;
../instances/set_4_4/p4.4.m.txt;765.844;11.1049;
../instances/set_4_4/p4.4.n.txt;801.906;15.061;
../instances/set_4_4/p4.4.o.txt;849.812;14.2488;
../instances/set_4_4/p4.4.p.txt;899.281;15.4581;
../instances/set_4_4/p4.4.q.txt;940.219;21.4429;
../instances/set_4_4/p4.4.r.txt;975.594;16.2016;
../instances/set_4_4/p4.4.s.txt;1013.84;17.7889;
../instances/set_4_4/p4.4.t.txt;1043.59;19.2806;
